               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11483,            0.063057,            0.029046,           0.0022982,            0.011194,          0.00089837,          0.00019092,             0.10174,            0.039207,            0.026914,              0.0003,              0.0003,              0.0973
                   1,             0.10361,            0.050482,            0.026719,            0.038491,            0.044776,            0.011534,           0.0023225,            0.085908,             0.03307,            0.023823,          0.00060997,          0.00060997,             0.09451
                   2,            0.090872,            0.051238,            0.022842,            0.066272,              0.1664,            0.048516,           0.0091423,             0.07705,            0.031751,            0.020605,           0.0009198,           0.0009198,             0.09172
                   3,            0.084189,            0.049478,            0.020198,             0.23042,             0.37864,             0.16033,            0.044513,            0.069543,            0.030086,            0.018056,           0.0012294,           0.0012294,            0.088929
                   4,            0.074597,            0.047961,            0.016848,             0.50385,             0.39188,              0.3956,             0.14041,            0.061166,            0.027446,            0.014176,           0.0015386,           0.0015386,            0.086139
                   5,            0.069349,            0.043046,            0.015195,              0.4516,             0.40837,             0.39431,             0.15266,            0.058819,            0.024962,             0.01085,           0.0018474,           0.0018474,            0.083347
                   6,            0.066031,            0.043013,            0.011512,             0.39747,             0.42964,             0.36086,            0.098621,            0.057277,            0.023185,           0.0082569,           0.0021557,           0.0021557,            0.080556
                   7,            0.066948,             0.03992,           0.0092484,             0.52646,             0.38424,             0.38197,             0.11857,             0.05535,            0.021588,           0.0074888,           0.0024633,           0.0024633,            0.077763
                   8,            0.065093,             0.03817,           0.0079534,              0.3769,             0.58396,             0.42617,             0.16391,            0.056885,              0.0205,           0.0072952,           0.0027701,           0.0027701,             0.07497
                   9,            0.063497,            0.035797,           0.0065666,             0.40081,             0.57226,              0.4556,             0.18501,            0.048702,            0.020512,           0.0047628,           0.0030761,           0.0030761,            0.072176
                  10,            0.060427,            0.036214,           0.0056368,             0.38693,             0.61825,             0.48204,             0.23068,            0.048788,            0.019544,           0.0040746,           0.0033812,           0.0033812,            0.069381
                  11,            0.061027,            0.036177,           0.0053639,             0.28115,             0.58698,             0.32359,            0.095188,            0.057655,            0.018757,           0.0049506,           0.0036851,           0.0036851,            0.066585
                  12,            0.064197,            0.034299,           0.0051136,             0.39864,             0.46979,             0.38279,             0.15726,            0.054869,            0.017825,           0.0040609,            0.003988,            0.003988,            0.063788
                  13,            0.062085,            0.034461,           0.0052325,             0.29652,             0.69528,             0.43311,             0.15407,            0.055293,             0.01745,           0.0034366,           0.0042895,           0.0042895,             0.06099
